Age,Gender,spotify_usage_period,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preffered_premium_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_Influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction
13-20,Male,1 year to 2 years,"Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),Yes,None,Podcast,classical,Morning,"Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session","recommendations,Others, Social media",2,Once a week,None,None,None,None,Very Satisfied
20-35,Male,Less than 6 months,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),No,Student Plan-Rs 59/month,Podcast,Electronic/Dance,Afternoon,"Relaxation and stress relief, Social gatherings or parties","Study Hours, While Traveling, leisure time",Playlists,4,Never,Lifestyle and Health,Educational,Both,Longer,Very Dissatisfied
20-35,Male,6 months to 1 year,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,trending songs random,Afternoon,"Relaxation and stress relief, Social gatherings or parties","Study Hours, While Traveling, Workout session","recommendations, Playlists, Others",4,Rarely,Stories ,Educational,Well known individuals,Shorter,Dissatisfied
35-60,Female,Less than 6 months,Wearable devices,Free (ad-supported),Yes,Family Plan-Rs 179/month,Podcast,Pop,Morning,"Relaxation and stress relief, Social gatherings or parties","Office hours, Study Hours, While Traveling, Workout session","recommendations, Playlists, Radio, Others",5,Once a week,Technology,Educational,None,Both,Satisfied
35-60,Female,More than 2 years,"Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,"Classical & melody, dance",Night,"Relaxation and stress relief, Sadness or melancholy","Office hours, Study Hours, While Traveling, Workout session, leisure time, ","recommendations,Others, Social media",3,Daily,Technology,None,Well known individuals,Both,Satisfied
20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop",Premium (paid subscription),No,Duo plan- Rs 149/month,Podcast,classical,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Study Hours, While Traveling","recommendations,Others, Social media",5,Never,Stories ,Educational,unknown Podcasters,Shorter,Dissatisfied
35-60,Male,6 months to 1 year,"Smartphone, Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),Yes,Family Plan-Rs 179/month,Music,Electronic/Dance,Morning,"Uplifting and motivational, Sadness or melancholy","While Traveling, Before bed ","recommendations, Radio",5,Rarely,Self help,Conversational,unknown Podcasters,Both,Dissatisfied
20-35,Male,More than 2 years,"Smart speakers or voice assistants, Wearable devices",Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,trending songs random,Morning,"Relaxation and stress relief, Sadness or melancholy","While Traveling, Workout session, leisure time, Night time, when cooking","recommendations, Playlists, Others",3,Never,None,Story telling,None,Longer,Very Dissatisfied
13-20,Female,6 months to 1 year,Wearable devices,Premium (paid subscription),No,Duo plan- Rs 149/month,Music,trending songs random,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling, Workout session","Others, Friends",4,Rarely,Self help,Story telling,None,Shorter,Satisfied
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,None,Music,Electronic/Dance,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, While Traveling, Workout session, leisure time","recommendations, Others, Social media",1,Once a week,Comedy,Interview,unknown Podcasters,Shorter,Satisfied
13-20,Female,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),Yes,Student Plan-Rs 59/month,Podcast,classical,Night,Uplifting and motivational,"Study Hours, While Traveling, Workout session, leisure time","recommendations, Playlists, Others",2,Daily,Comedy,Interview,unknown Podcasters,Both,Satisfied
20-35,Male,6 months to 1 year,Computer or laptop,Premium (paid subscription),Yes,None,Podcast,Pop,Morning,Relaxation and stress relief,"Office hours, Study Hours, While Traveling, Workout session","Others, Friends",1,Several times a week,Informative stuff,Story telling,Both,Shorter,Very Satisfied
13-20,Female,1 year to 2 years,Computer or laptop,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Podcast,Old songs,Night,"Relaxation and stress relief, Social gatherings or parties","Office hours, While Traveling, Workout session","Radio, Others",2,Several times a week,Everything,Conversational,Both,None,Ok
35-60,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Duo plan- Rs 149/month,Music,Rock,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy",Social gatherings ,"recommendations, Others, Social media",1,Daily,Sports,Story telling,Both,Shorter,Very Dissatisfied
20-35,Female,6 months to 1 year,"Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),Yes,Family Plan-Rs 179/month,Music,Kpop,Afternoon,Sadness or melancholy,"Office hours, While Traveling",Radio,5,Rarely,Technology,None,None,Shorter,Satisfied
20-35,Male,6 months to 1 year,Computer or laptop,Free (ad-supported),No,Individual Plan- Rs 119/ month,Podcast,Old songs,Morning,Relaxation and stress relief,"Office hours, Study Hours, While Traveling, leisure time","recommendations, Radio, Others",1,Rarely,Business,Story telling,Both,Longer,Very Satisfied
13-20,Male,Less than 6 months,Smartphone,Free (ad-supported),Yes,None,Podcast,All,Morning,Sadness or melancholy,"Study Hours, leisure time",Radio,5,Once a week,Dance and Relevant cases ,Interview,Both,Longer,Ok
20-35,Male,1 year to 2 years,"Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),Yes,Student Plan-Rs 59/month,Podcast,Pop,Afternoon,Sadness or melancholy,"Office hours,Study Hours, While Traveling, leisure time","Others, Friends",4,Several times a week,Technology,Educational,Both,Both,Dissatisfied
20-35,Female,6 months to 1 year,Smart speakers or voice assistants,Free (ad-supported),No,Duo plan- Rs 149/month,Music,Rap,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties",leisure time,"Others, Social media",2,Rarely,Lifestyle and Health,Story telling,Well known individuals,Longer,Dissatisfied
20-35,Male,6 months to 1 year,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties",Study Hours,"Playlists, Others",5,Never,Educational ,Interview,Both,Shorter,Very Satisfied
20-35,Male,More than 2 years,"Smartphone, Computer or laptop, Wearable devices",Premium (paid subscription),No,Duo plan- Rs 149/month,Podcast,trending songs random,Morning,Uplifting and motivational,Office hours,"recommendations, Playlists, Radio",4,Daily,Stories ,Educational,Well known individuals,Longer,Ok
35-60,Male,Less than 6 months,Computer or laptop,Free (ad-supported),No,Duo plan- Rs 149/month,Podcast,Kpop,Afternoon,Relaxation and stress relief,leisure time,"recommendations, Others",4,Once a week,Comedy,None,None,Shorter,Very Dissatisfied
35-60,Male,Less than 6 months,"Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),No,Student Plan-Rs 59/month,Podcast,classical,Morning,"Relaxation and stress relief, Social gatherings or parties","Office hours, Study Hours, While Traveling, Workout session, leisure time, ",Radio,4,Once a week,Dance and Relevant cases ,Conversational,unknown Podcasters,None,Very Satisfied
20-35,Male,1 year to 2 years,"Computer or laptop, Wearable devices",Premium (paid subscription),Yes,None,Music,Rock,Morning,"Relaxation and stress relief, Uplifting and motivational","Office hours, Study Hours, While Traveling, Workout session, leisure time, ","Others, Friends",3,Daily,Sports,None,Both,None,Dissatisfied
13-20,Male,Less than 6 months,"Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),No,Duo plan- Rs 149/month,Music,Melody,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Others, Social media",4,Several times a week,Comedy,Story telling,None,Both,Very Dissatisfied
20-35,Female,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),No,Duo plan- Rs 149/month,Podcast,Electronic/Dance,Afternoon,Sadness or melancholy,"Office hours, leisure time","Others, Friends",5,Once a week,Finance related and current affairs,Interview,Well known individuals,None,Dissatisfied
35-60,Male,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,Family Plan-Rs 179/month,Podcast,Pop,Night,"Uplifting and motivational, Sadness or melancholy","Office hours, Workout session, leisure time",recommendations,2,Rarely,Food and cooking,Conversational,Both,None,Satisfied
13-20,Male,1 year to 2 years,"Smartphone, Wearable devices",Premium (paid subscription),No,None,Music,All,Afternoon,Social gatherings or parties,While Traveling,"recommendations, Others",5,Rarely,Technology,None,Well known individuals,None,Ok
20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop",Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,All,Afternoon,"Relaxation and stress relief, Uplifting and motivational","Study Hours, Workout session","recommendations, Playlists",1,Several times a week,Finance related and current affairs,Conversational,unknown Podcasters,Shorter,Satisfied
35-60,Male,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),No,Family Plan-Rs 179/month,Music,"Classical & melody, dance",Night,Sadness or melancholy,"Study Hours, leisure time","Others, Friends",1,Daily,Finance related and current affairs,Conversational,None,Longer,Ok
35-60,Male,1 year to 2 years,"Smartphone, Computer or laptop, Wearable devices",Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,classical,Night,"Relaxation and stress relief, Uplifting and motivational","Office hours, Workout session","recommendations, Playlists, Others",1,Rarely,Novels,Story telling,Both,Shorter,Very Dissatisfied
20-35,Female,More than 2 years,"Smartphone, Smart speakers or voice assistants",Premium (paid subscription),Yes,Student Plan-Rs 59/month,Music,Kpop,Night,"Relaxation and stress relief, Uplifting and motivational","Study Hours, While Traveling, Workout session, leisure time","recommendations, Radio",4,Rarely,None,Educational,Well known individuals,None,Ok
35-60,Female,More than 2 years,"Smartphone, Smart speakers or voice assistants",Premium (paid subscription),No,Duo plan- Rs 149/month,Podcast,Rock,Morning,Uplifting and motivational,"Office hours, Study Hours, While Traveling, Workout session, leisure time","recommendations, Radio, Others",1,Once a week,Sports,None,Well known individuals,Shorter,Dissatisfied
20-35,Female,Less than 6 months,"Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),Yes,None,Music,All,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties",Social gatherings ,"recommendations,Others, Social media",3,Never,Dance and Relevant cases ,Story telling,None,Longer,Ok
20-35,Female,More than 2 years,"Smartphone, Smart speakers or voice assistants",Free (ad-supported),No,None,Podcast,Old songs,Afternoon,"Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time","recommendations, Others",2,Rarely,Comedy,Interview,Well known individuals,Both,Ok
13-20,Male,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,Individual Plan- Rs 119/ month,Podcast,Pop,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, Workout session, leisure time","Others, Social media",3,Never,Educational ,Educational,Both,Both,Very Satisfied
35-60,Male,6 months to 1 year,"Smartphone, Computer or laptop, Wearable devices",Free (ad-supported),No,Family Plan-Rs 179/month,Music,Melody,Morning,Relaxation and stress relief,"Office hours, Study Hours, While Traveling, Workout session","recommendations,Others, Social media",1,Once a week,Informative stuff,Interview,None,None,Very Satisfied
35-60,Male,Less than 6 months,Computer or laptop,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Podcast,Pop,Morning,"Relaxation and stress relief, Social gatherings or parties","Office hours, While Traveling, Workout session, leisure time","Playlists, Radio",4,Several times a week,Comedy,Interview,Well known individuals,Shorter,Dissatisfied
35-60,Female,6 months to 1 year,"Computer or laptop, Wearable devices",Premium (paid subscription),No,Family Plan-Rs 179/month,Podcast,Pop,Morning,Sadness or melancholy,"Office hours, While Traveling, leisure time","Others, Search",5,Never,Business,Educational,None,Both,Ok
13-20,Female,6 months to 1 year,"Smartphone, Computer or laptop",Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Melody,Afternoon,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","Office hours, Study Hours, While Traveling, Workout session",Others,5,Rarely,Educational ,Conversational,Well known individuals,None,Very Dissatisfied
20-35,Male,Less than 6 months,"Computer or laptop, Wearable devices",Free (ad-supported),Yes,None,Podcast,Kpop,Afternoon,"Relaxation and stress relief, Sadness or melancholy",While Traveling,"Playlists, Others",5,Daily,General knowledge ,None,unknown Podcasters,Both,Very Satisfied
20-35,Female,Less than 6 months,"Computer or laptop, Wearable devices",Premium (paid subscription),No,Duo plan- Rs 149/month,Podcast,"Classical & melody, dance",Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy",Workout session,recommendations,1,Daily,Technology,Conversational,None,Both,Very Dissatisfied
13-20,Female,1 year to 2 years,"Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","Study Hours, While Traveling","Radio, Others",4,Never,Dance and Relevant cases ,Story telling,Both,None,Very Satisfied
20-35,Male,Less than 6 months,Wearable devices,Free (ad-supported),No,Student Plan-Rs 59/month,Podcast,All,Night,"Uplifting and motivational, Social gatherings or parties","Study Hours, While Traveling, Workout session","Playlists, Radio",2,Several times a week,Lifestyle and Health,Interview,unknown Podcasters,Longer,Very Satisfied
35-60,Male,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,trending songs random,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","Office hours, Study Hours, Workout session",Others,1,Several times a week,Educational ,Interview,None,Both,Very Satisfied
13-20,Female,More than 2 years,Computer or laptop,Premium (paid subscription),No,Individual Plan- Rs 119/ month,Podcast,Old songs,Morning,Sadness or melancholy,Social gatherings ,"Playlists, Radio, Others",2,Several times a week,Food and cooking,Conversational,unknown Podcasters,Shorter,Very Satisfied
13-20,Female,Less than 6 months,"Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,Family Plan-Rs 179/month,Music,Pop,Night,"Relaxation and stress relief, Social gatherings or parties","Study Hours, While Traveling","Others, Search",4,Rarely,Finance related and current affairs,Conversational,None,Shorter,Dissatisfied
20-35,Male,6 months to 1 year,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),Yes,Family Plan-Rs 179/month,Music,Kpop,Morning,"Uplifting and motivational, Sadness or melancholy",Study Hours,"Playlists, Radio",1,Daily,Spiritual and devotional,None,None,None,Very Satisfied
20-35,Female,1 year to 2 years,"Smart speakers or voice assistants, Wearable devices",Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,classical,Afternoon,"Relaxation and stress relief, Sadness or melancholy","Study Hours, While Traveling, leisure time","Playlists, Others",4,Daily,Spiritual and devotional,Educational,None,Longer,Dissatisfied
20-35,Female,6 months to 1 year,"Smartphone, Computer or laptop, Wearable devices",Premium (paid subscription),No,Family Plan-Rs 179/month,Music,"Classical & melody, dance",Afternoon,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties",While Traveling,"recommendations, Playlists, Others",2,Several times a week,Food and cooking,Conversational,Both,Shorter,Satisfied
13-20,Male,Less than 6 months,Smartphone,Premium (paid subscription),Yes,Duo plan- Rs 149/month,Podcast,trending songs random,Afternoon,"Relaxation and stress relief, Social gatherings or parties","Office hours, Workout session, leisure time","Playlists, Radio, Others",3,Several times a week,Self help,Interview,Well known individuals,None,Ok
20-35,Male,6 months to 1 year,Wearable devices,Premium (paid subscription),No,Duo plan- Rs 149/month,Podcast,Old songs,Morning,"Uplifting and motivational, Sadness or melancholy","Study Hours, leisure time",Playlists,5,Once a week,Murder Mystery ,Story telling,Well known individuals,None,Very Satisfied
13-20,Female,Less than 6 months,Smart speakers or voice assistants,Premium (paid subscription),Yes,Student Plan-Rs 59/month,Podcast,Kpop,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling","recommendations, Radio, Others",3,Never,Food and cooking,Interview,Well known individuals,Both,Ok
13-20,Male,More than 2 years,"Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),Yes,Family Plan-Rs 179/month,Podcast,Old songs,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, Before bed ","recommendations, Playlists, Radio",1,Once a week,Sports,Educational,Well known individuals,Longer,Dissatisfied
20-35,Male,More than 2 years,Wearable devices,Free (ad-supported),No,None,Podcast,Pop,Morning,"Uplifting and motivational, Sadness or melancholy",While Traveling,"recommendations, Others, Social media",4,Once a week,Stories ,None,Both,Shorter,Ok
35-60,Male,More than 2 years,"Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Electronic/Dance,Night,"Relaxation and stress relief, Social gatherings or parties","Office hours, leisure time","recommendations, Playlists",3,Several times a week,Spiritual and devotional,Story telling,Well known individuals,Shorter,Very Dissatisfied
35-60,Female,More than 2 years,Smart speakers or voice assistants,Free (ad-supported),No,Student Plan-Rs 59/month,Podcast,"Classical & melody, dance",Morning,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","Office hours,Study Hours, While Traveling, leisure time","recommendations, Playlists, Radio",5,Never,Food and cooking,Educational,unknown Podcasters,None,Satisfied
20-35,Male,More than 2 years,"Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),No,None,Music,Rock,Morning,"Uplifting and motivational, Sadness or melancholy, Social gatherings or parties",Workout session,"Playlists, Radio",2,Daily,Dance and Relevant cases ,Conversational,unknown Podcasters,Both,Very Dissatisfied
35-60,Male,6 months to 1 year,"Smartphone, Wearable devices",Free (ad-supported),No,Family Plan-Rs 179/month,Podcast,Melody,Night,"Relaxation and stress relief, Sadness or melancholy",Random ,Playlists,1,Never,Business,Conversational,None,None,Very Satisfied
13-20,Female,6 months to 1 year,"Smartphone, Computer or laptop, Wearable devices",Free (ad-supported),No,Duo plan- Rs 149/month,Podcast,Electronic/Dance,Night,"Relaxation and stress relief, Sadness or melancholy","Office hours, Study Hours, While Traveling, Workout session","recommendations, Playlists, Radio, Others",3,Rarely,Health and Fitness,Story telling,Both,None,Very Dissatisfied
20-35,Male,1 year to 2 years,Computer or laptop,Free (ad-supported),Yes,None,Podcast,All,Afternoon,Social gatherings or parties,"Office hours, Study Hours, While Traveling, Workout session, leisure time, ","recommendations, Radio",3,Never,None,Story telling,unknown Podcasters,None,Satisfied
20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop",Premium (paid subscription),No,Individual Plan- Rs 119/ month,Music,Pop,Morning,"Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling",Others,1,Once a week,Self help,Educational,None,None,Very Dissatisfied
20-35,Female,Less than 6 months,"Smartphone, Wearable devices",Premium (paid subscription),Yes,Student Plan-Rs 59/month,Podcast,"Classical & melody, dance",Night,Sadness or melancholy,"Office hours, While Traveling","recommendations, Radio, Others",5,Several times a week,Sports,Interview,Well known individuals,Both,Very Satisfied
20-35,Female,More than 2 years,"Smart speakers or voice assistants, Wearable devices",Free (ad-supported),Yes,None,Music,All,Morning,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","Workout session, leisure time","recommendations, Playlists",4,Rarely,"Political, informative, topics that interests me",Educational,Both,Both,Satisfied
35-60,Male,1 year to 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),Yes,Family Plan-Rs 179/month,Podcast,Pop,Morning,"Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, Workout session","recommendations, Others",3,Several times a week,Everything,Interview,Well known individuals,Shorter,Very Satisfied
20-35,Female,1 year to 2 years,"Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,Student Plan-Rs 59/month,Podcast,trending songs random,Afternoon,"Uplifting and motivational, Social gatherings or parties","Study Hours, Workout session, leisure time","recommendations, Radio, Others",3,Daily,Finance related and current affairs,Story telling,unknown Podcasters,Longer,Very Satisfied
20-35,Male,1 year to 2 years,Wearable devices,Free (ad-supported),No,Individual Plan- Rs 119/ month,Podcast,Rap,Afternoon,Relaxation and stress relief,"Study Hours, While Traveling, Workout session","recommendations, Playlists",5,Never,"Political, informative, topics that interests me",Educational,None,Shorter,Very Satisfied
20-35,Female,6 months to 1 year,Smart speakers or voice assistants,Free (ad-supported),No,Duo plan- Rs 149/month,Music,trending songs random,Morning,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Workout session, leisure time","recommendations, Radio, Others",4,Several times a week,Finance related and current affairs,None,unknown Podcasters,Shorter,Ok
20-35,Male,1 year to 2 years,"Smartphone, Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),Yes,Duo plan- Rs 149/month,Music,Old songs,Night,"Relaxation and stress relief, Social gatherings or parties",leisure time,"recommendations, Others, Social media",4,Daily,Comedy,Educational,None,Longer,Very Dissatisfied
35-60,Male,1 year to 2 years,"Smartphone, Smart speakers or voice assistants",Free (ad-supported),No,Duo plan- Rs 149/month,Music,trending songs random,Night,"Uplifting and motivational, Sadness or melancholy",Social gatherings ,recommendations,1,Never,Business,Educational,None,Shorter,Very Dissatisfied
13-20,Male,1 year to 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),No,Family Plan-Rs 179/month,Music,Melody,Afternoon,"Sadness or melancholy, Social gatherings or parties","Office hours, leisure time","recommendations,Others, Social media",2,Daily,Food and cooking,Educational,Well known individuals,Shorter,Very Satisfied
20-35,Male,Less than 6 months,Smartphone,Premium (paid subscription),Yes,Duo plan- Rs 149/month,Podcast,Electronic/Dance,Night,Relaxation and stress relief,Social gatherings ,"recommendations, Playlists",2,Rarely,Informative stuff,None,unknown Podcasters,None,Very Dissatisfied
20-35,Male,1 year to 2 years,Computer or laptop,Free (ad-supported),No,Duo plan- Rs 149/month,Podcast,trending songs random,Night,"Relaxation and stress relief, Social gatherings or parties","While Traveling, Workout session",recommendations,2,Never,Spiritual and devotional,Interview,Well known individuals,Shorter,Ok
13-20,Male,6 months to 1 year,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Morning,Sadness or melancholy,"Office hours, Study Hours, While Traveling, leisure time","recommendations,Others, Social media",3,Daily,None,Educational,unknown Podcasters,None,Ok
20-35,Male,More than 2 years,"Smartphone, Smart speakers or voice assistants",Free (ad-supported),No,Student Plan-Rs 59/month,Podcast,Old songs,Night,Uplifting and motivational,"Office hours, Study Hours, While Traveling, Workout session","Others, Friends",5,Never,General knowledge ,Educational,None,Shorter,Satisfied
20-35,Male,6 months to 1 year,Computer or laptop,Free (ad-supported),Yes,Family Plan-Rs 179/month,Music,trending songs random,Afternoon,"Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling, leisure time","recommendations, Playlists",2,Never,Murder Mystery ,Conversational,Both,None,Satisfied
20-35,Male,Less than 6 months,"Smartphone, Wearable devices",Premium (paid subscription),No,Family Plan-Rs 179/month,Podcast,"Classical & melody, dance",Afternoon,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, While Traveling","Radio, Others",2,Rarely,Health and Fitness,Conversational,Both,Shorter,Satisfied
20-35,Male,Less than 6 months,Computer or laptop,Free (ad-supported),No,None,Podcast,Old songs,Afternoon,"Relaxation and stress relief, Sadness or melancholy","Office hours, Study Hours, While Traveling, Workout session, leisure time, ","Playlists, Radio, Others",2,Daily,Educational ,Story telling,Well known individuals,None,Very Satisfied
20-35,Male,Less than 6 months,"Smartphone, Wearable devices",Free (ad-supported),No,None,Podcast,Rock,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties",Random ,"Others, Search",4,Daily,"Political, informative, topics that interests me",Story telling,None,Shorter,Ok
20-35,Male,Less than 6 months,"Computer or laptop, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),Yes,Student Plan-Rs 59/month,Podcast,trending songs random,Afternoon,"Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Workout session, leisure time",Others,1,Several times a week,"Political, informative, topics that interests me",Educational,Well known individuals,None,Dissatisfied
35-60,Female,More than 2 years,Computer or laptop,Free (ad-supported),No,Family Plan-Rs 179/month,Music,"Classical & melody, dance",Morning,"Sadness or melancholy, Social gatherings or parties","Office hours, Study Hours, While Traveling",Radio,2,Daily,Murder Mystery ,Interview,Both,Both,Very Dissatisfied
20-35,Male,More than 2 years,"Computer or laptop, Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),Yes,None,Music,Melody,Morning,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, Before bed ","recommendations, Radio, Others",2,Never,Lifestyle and Health,Educational,Well known individuals,Both,Ok
20-35,Female,More than 2 years,Wearable devices,Premium (paid subscription),Yes,None,Podcast,trending songs random,Morning,"Relaxation and stress relief, Uplifting and motivational","Office hours, While Traveling","recommendations, Playlists, Radio",5,Daily,Stories ,Story telling,None,Shorter,Very Satisfied
20-35,Female,6 months to 1 year,"Smartphone, Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Podcast,Rock,Morning,"Relaxation and stress relief, Uplifting and motivational","Study Hours, While Traveling","recommendations, Playlists, Radio, Others",4,Once a week,Technology,Story telling,Both,None,Dissatisfied
35-60,Male,Less than 6 months,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Rock,Night,Uplifting and motivational,"Office hours, While Traveling","Playlists, Radio, Others",5,Several times a week,General knowledge ,Story telling,None,Shorter,Dissatisfied
20-35,Male,6 months to 1 year,Smart speakers or voice assistants,Premium (paid subscription),No,Duo plan- Rs 149/month,Music,"Classical & melody, dance",Afternoon,"Uplifting and motivational, Social gatherings or parties","Office hours, Study Hours, While Traveling","Playlists, Radio",2,Rarely,Novels,Interview,None,Shorter,Dissatisfied
35-60,Male,Less than 6 months,Computer or laptop,Free (ad-supported),No,Family Plan-Rs 179/month,Music,classical,Morning,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","Study Hours, leisure time","recommendations, Playlists, Radio",1,Daily,"Political, informative, topics that interests me",Story telling,Both,Longer,Very Satisfied
20-35,Male,1 year to 2 years,"Smartphone, Computer or laptop, Wearable devices",Premium (paid subscription),Yes,Duo plan- Rs 149/month,Music,trending songs random,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties",Study Hours,"recommendations, Others, Social media",1,Never,Novels,Educational,None,None,Very Satisfied
13-20,Male,Less than 6 months,Wearable devices,Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,trending songs random,Night,"Uplifting and motivational, Social gatherings or parties","Workout session, leisure time",Others,5,Once a week,Murder Mystery ,Educational,Both,Both,Ok
20-35,Male,1 year to 2 years,"Computer or laptop, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,None,Music,trending songs random,Morning,Sadness or melancholy,"While Traveling, Workout session, leisure time, Night time, when cooking",Radio,5,Once a week,General knowledge ,None,None,Both,Ok
20-35,Male,More than 2 years,"Smartphone, Smart speakers or voice assistants",Free (ad-supported),No,Family Plan-Rs 179/month,Podcast,Rap,Night,"Relaxation and stress relief, Social gatherings or parties","Office hours, Study Hours, Workout session","Playlists, Radio",1,Several times a week,"Political, informative, topics that interests me",Interview,Both,None,Ok
35-60,Male,Less than 6 months,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),Yes,Family Plan-Rs 179/month,Music,Old songs,Night,Uplifting and motivational,"Study Hours, While Traveling, leisure time","recommendations,Others, Social media",1,Rarely,Lifestyle and Health,Interview,Well known individuals,Longer,Satisfied
